n,alpha,c,seed,algo,loss,time,lr,iters,mse
10,10.0,0.8,2,gd,1.1245971336393268e-06,0.10432171821594238,0.005,500,1.1245971336393268e-07
10,10.0,0.2,2,gd,0.011804983019828796,0.11823487281799316,0.005,500,0.0011804983019828796
10,10.0,0.8,2,gd,1.1245971336393268e-06,0.10803985595703125,0.001,500,1.1245971336393268e-07
10,10.0,0.95,1,gd,5.601957653311729e-08,0.21332859992980957,0.01,1000,5.6019576533117285e-09
10,10.0,0.95,2,gd,5.601957653311729e-08,0.10476565361022949,0.005,500,5.6019576533117285e-09
10,10.0,0.8,1,gd,1.1245971336393268e-06,0.22220921516418457,0.01,1000,1.1245971336393268e-07
10,10.0,0.5,2,gd,0.00044794255518354475,0.11707568168640137,0.01,500,4.479425551835447e-05
10,20.0,0.2,1,gd,0.000649603724014014,0.20328879356384277,0.01,1000,6.49603724014014e-05
10,10.0,0.5,2,gd,0.00044794255518354475,0.12280893325805664,0.005,500,4.479425551835447e-05
10,5.0,0.95,2,gd,0.0007357326103374362,0.11439657211303711,0.001,500,7.357326103374362e-05
10,10.0,0.8,2,gd,1.1245971336393268e-06,0.11352086067199707,0.01,500,1.1245971336393268e-07
10,20.0,0.2,1,gd,0.001330039813183248,0.2150404453277588,0.005,1000,0.0001330039813183248
10,20.0,0.5,1,gd,2.060966686201482e-08,0.20884037017822266,0.001,1000,2.060966686201482e-09
10,20.0,0.2,1,gd,0.007642488926649094,0.22499322891235352,0.001,1000,0.0007642488926649094
10,10.0,0.95,2,gd,5.601957653311729e-08,0.11935830116271973,0.001,500,5.6019576533117285e-09
10,20.0,0.2,2,gd,0.0013263277942314744,0.10556292533874512,0.01,500,0.00013263277942314743
10,10.0,0.95,2,gd,5.601957653311729e-08,0.1132662296295166,0.01,500,5.6019576533117285e-09
10,20.0,0.5,2,gd,2.060966686201482e-08,0.10233712196350098,0.001,500,2.060966686201482e-09
10,20.0,0.2,2,gd,0.0027594442944973707,0.11036324501037598,0.005,500,0.0002759444294497371
10,20.0,0.95,1,gd,3.139132954584203e-16,0.19890737533569336,0.001,1000,3.1391329545842027e-17
10,20.0,0.8,1,gd,1.266416035624121e-13,0.20367217063903809,0.01,1000,1.266416035624121e-14
10,20.0,0.2,2,gd,0.017842618748545647,0.11982154846191406,0.001,500,0.0017842618748545648
10,1.0,0.5,2,gd,1.4253698587417603,0.1827080249786377,0.01,1000,0.14253698587417601
10,20.0,0.8,2,gd,1.266416035624121e-13,0.10081672668457031,0.001,500,1.266416035624121e-14
10,20.0,0.5,1,gd,2.060966686201482e-08,0.2172408103942871,0.005,1000,2.060966686201482e-09
10,20.0,0.8,1,gd,1.266416035624121e-13,0.20897746086120605,0.005,1000,1.266416035624121e-14
10,20.0,0.8,2,gd,1.266416035624121e-13,0.11358976364135742,0.005,500,1.266416035624121e-14
10,20.0,0.5,2,gd,2.060966686201482e-08,0.10770893096923828,0.01,500,2.060966686201482e-09
10,20.0,0.8,1,gd,1.266416035624121e-13,0.2158803939819336,0.001,1000,1.266416035624121e-14
10,20.0,0.5,1,gd,2.060966686201482e-08,0.2183084487915039,0.01,1000,2.060966686201482e-09
10,20.0,0.95,1,gd,3.139132954584203e-16,0.20768356323242188,0.005,1000,3.1391329545842027e-17
10,5.0,0.2,2,gd,0.025035550817847252,0.19551801681518555,0.005,1000,0.002503555081784725
10,20.0,0.95,1,gd,3.139132954584203e-16,0.21104788780212402,0.01,1000,3.1391329545842027e-17
10,1.0,0.2,2,gd,0.9611582159996033,0.2079944610595703,0.01,1000,0.09611582159996032
10,20.0,0.8,2,gd,1.266416035624121e-13,0.10855484008789062,0.01,500,1.266416035624121e-14
10,20.0,0.5,2,gd,2.060966686201482e-08,0.12087464332580566,0.005,500,2.060966686201482e-09
10,1.0,0.8,2,gd,0.9611582159996033,0.1960139274597168,0.005,1000,0.09611582159996032
10,20.0,0.95,2,gd,3.139132954584203e-16,0.10913586616516113,0.01,500,3.1391329545842027e-17
10,1.0,0.2,3,gd,1.638027310371399,0.11232638359069824,0.005,500,0.16380273103713988
10,1.0,0.2,2,gd,2.3574154376983643,0.2162036895751953,0.001,1000,0.23574154376983641
10,20.0,0.95,2,gd,3.139132954584203e-16,0.11316561698913574,0.005,500,3.1391329545842027e-17
10,1.0,0.2,2,gd,0.9727274775505066,0.21831107139587402,0.005,1000,0.09727274775505065
10,5.0,0.2,2,gd,0.1805623322725296,0.22169756889343262,0.001,1000,0.01805623322725296
10,1.0,0.2,3,gd,2.6711013317108154,0.10318517684936523,0.001,500,0.26711013317108157
10,1.0,0.8,2,gd,0.9611582159996033,0.21080565452575684,0.001,1000,0.09611582159996032
10,1.0,0.5,2,gd,1.4253698587417603,0.21943950653076172,0.005,1000,0.14253698587417601
10,1.0,0.95,3,gd,0.7777673602104187,0.1016998291015625,0.001,500,0.07777673602104188
10,1.0,0.5,2,gd,1.4253698587417603,0.2226874828338623,0.001,1000,0.14253698587417601
10,1.0,0.8,3,gd,0.9611582159996033,0.08470392227172852,0.005,500,0.09611582159996032
10,1.0,0.5,3,gd,1.4253698587417603,0.10547924041748047,0.01,500,0.14253698587417601
10,1.0,0.5,3,gd,1.4253698587417603,0.10339760780334473,0.001,500,0.14253698587417601
10,20.0,0.95,2,gd,3.139132954584203e-16,0.11140727996826172,0.001,500,3.1391329545842027e-17
10,5.0,0.8,2,gd,0.003235037438571453,0.21856427192687988,0.005,1000,0.0003235037438571453
10,1.0,0.95,2,gd,0.7777673602104187,0.21382474899291992,0.005,1000,0.07777673602104188
10,1.0,0.95,2,gd,0.7777673602104187,0.21254467964172363,0.01,1000,0.07777673602104188
10,10.0,0.2,2,gd,0.002686544321477413,0.19104385375976562,0.01,1000,0.0002686544321477413
10,1.0,0.95,2,gd,0.7777673602104187,0.22094416618347168,0.001,1000,0.07777673602104188
10,1.0,0.5,3,gd,1.4253698587417603,0.10521984100341797,0.005,500,0.14253698587417601
10,10.0,0.95,2,gd,5.601957653311729e-08,0.1836531162261963,0.001,1000,5.6019576533117285e-09
10,5.0,0.2,2,gd,0.011614806950092316,0.21454691886901855,0.01,1000,0.0011614806950092315
